Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-28 00:00:00+05:30,159.9499969482422,165.0,155.0,158.89999389648438,16669,0.0,0.0
2020-03-02 00:00:00+05:30,189.89999389648438,189.89999389648438,155.60000610351562,162.10000610351562,5856,0.0,0.0
2020-03-03 00:00:00+05:30,165.0,165.0,157.10000610351562,158.35000610351562,9134,0.0,0.0
2020-03-04 00:00:00+05:30,164.5,164.5,154.5500030517578,155.0,5450,0.0,0.0
2020-03-05 00:00:00+05:30,160.0,160.0,153.0,153.4499969482422,3662,0.0,0.0
2020-03-06 00:00:00+05:30,151.0,157.5,146.8000030517578,152.25,6872,0.0,0.0
2020-03-09 00:00:00+05:30,159.39999389648438,159.39999389648438,136.0500030517578,145.9499969482422,6226,0.0,0.0
2020-03-11 00:00:00+05:30,151.75,155.0,147.0,149.4499969482422,7838,0.0,0.0
2020-03-12 00:00:00+05:30,140.0500030517578,147.0,125.0,130.8000030517578,16259,0.0,0.0
2020-03-13 00:00:00+05:30,126.0,142.60000610351562,104.6500015258789,129.10000610351562,11554,0.0,0.0
2020-03-16 00:00:00+05:30,132.89999389648438,132.89999389648438,113.55000305175781,121.44999694824219,4019,0.0,0.0
2020-03-17 00:00:00+05:30,127.0,127.0,116.05000305175781,117.25,7654,0.0,0.0
2020-03-18 00:00:00+05:30,117.05000305175781,117.05000305175781,110.0,114.55000305175781,3978,0.0,0.0
2020-03-19 00:00:00+05:30,104.0,131.6999969482422,91.6500015258789,110.0,40824,0.0,0.0
2020-03-20 00:00:00+05:30,125.0,125.0,103.4000015258789,111.55000305175781,6920,0.0,0.0
2020-03-23 00:00:00+05:30,91.05000305175781,121.0,91.05000305175781,96.19999694824219,7785,0.0,0.0
2020-03-24 00:00:00+05:30,90.0,106.0,90.0,99.6500015258789,8874,0.0,0.0
2020-03-25 00:00:00+05:30,92.5999984741211,102.55000305175781,92.19999694824219,99.05000305175781,5444,0.0,0.0
2020-03-26 00:00:00+05:30,108.9000015258789,108.9000015258789,93.30000305175781,104.44999694824219,9947,0.0,0.0
2020-03-27 00:00:00+05:30,103.80000305175781,109.9000015258789,100.05000305175781,105.0,21610,0.0,0.0
2020-03-30 00:00:00+05:30,100.05000305175781,106.80000305175781,96.0,104.8499984741211,2495,0.0,0.0
2020-03-31 00:00:00+05:30,110.9000015258789,124.9000015258789,100.0999984741211,113.1500015258789,9433,0.0,0.0
2020-04-01 00:00:00+05:30,103.05000305175781,135.0,103.0,113.55000305175781,6871,0.0,0.0
2020-04-03 00:00:00+05:30,115.0,128.0,113.5999984741211,115.0999984741211,2711,0.0,0.0
2020-04-07 00:00:00+05:30,115.0,124.75,115.0,116.4000015258789,3567,0.0,0.0
2020-04-08 00:00:00+05:30,119.94999694824219,134.0,115.0,123.3499984741211,6500,0.0,0.0
2020-04-09 00:00:00+05:30,120.9000015258789,147.14999389648438,120.9000015258789,140.0500030517578,22161,0.0,0.0
2020-04-13 00:00:00+05:30,145.0,163.0,140.60000610351562,162.0500030517578,36624,0.0,0.0
2020-04-15 00:00:00+05:30,174.0500030517578,175.0,149.0,161.35000610351562,41875,0.0,0.0
2020-04-16 00:00:00+05:30,167.0,167.0,150.1999969482422,157.75,13173,0.0,0.0
2020-04-17 00:00:00+05:30,163.39999389648438,163.39999389648438,155.0,156.85000610351562,8566,0.0,0.0
2020-04-20 00:00:00+05:30,158.0500030517578,159.60000610351562,150.85000610351562,155.3000030517578,6586,0.0,0.0
2020-04-21 00:00:00+05:30,149.0,152.9499969482422,142.5500030517578,147.85000610351562,5658,0.0,0.0
2020-04-22 00:00:00+05:30,142.3000030517578,150.25,135.64999389648438,147.85000610351562,7090,0.0,0.0
2020-04-23 00:00:00+05:30,157.0,157.0,147.0,151.35000610351562,7877,0.0,0.0
2020-04-24 00:00:00+05:30,153.9499969482422,154.0,140.0,145.5,8046,0.0,0.0
2020-04-27 00:00:00+05:30,145.5500030517578,154.0,145.5,148.9499969482422,5198,0.0,0.0
2020-04-28 00:00:00+05:30,148.9499969482422,155.0,148.9499969482422,153.10000610351562,9856,0.0,0.0
2020-04-29 00:00:00+05:30,159.0,159.10000610351562,154.6999969482422,155.9499969482422,3919,0.0,0.0
2020-04-30 00:00:00+05:30,156.0,174.5,155.8000030517578,157.8000030517578,12063,0.0,0.0
2020-05-04 00:00:00+05:30,160.0,160.0,151.10000610351562,158.9499969482422,5960,0.0,0.0
2020-05-05 00:00:00+05:30,160.0,174.0,158.5,163.60000610351562,10322,0.0,0.0
2020-05-06 00:00:00+05:30,168.0,172.0500030517578,159.0,170.10000610351562,15410,0.0,0.0
2020-05-07 00:00:00+05:30,177.0,177.0,142.64999389648438,170.9499969482422,20717,0.0,0.0
2020-05-08 00:00:00+05:30,173.0,177.0,160.0,165.8000030517578,23656,0.0,0.0
2020-05-11 00:00:00+05:30,165.5,173.0,160.0,163.0500030517578,46376,0.0,0.0
2020-05-12 00:00:00+05:30,163.0,169.9499969482422,150.0,151.14999389648438,46726,0.0,0.0
2020-05-13 00:00:00+05:30,158.0,160.0,150.5,152.0,24774,0.0,0.0
2020-05-14 00:00:00+05:30,151.5,155.0,149.0,150.9499969482422,11587,0.0,0.0
2020-05-15 00:00:00+05:30,150.5,154.9499969482422,149.1999969482422,152.39999389648438,11783,0.0,0.0
2020-05-18 00:00:00+05:30,154.9499969482422,154.9499969482422,141.0,144.85000610351562,15240,0.0,0.0
2020-05-19 00:00:00+05:30,144.85000610351562,151.89999389648438,141.75,146.9499969482422,16111,0.0,0.0
2020-05-20 00:00:00+05:30,146.8000030517578,149.89999389648438,141.0500030517578,143.25,17135,0.0,0.0
2020-05-21 00:00:00+05:30,143.3000030517578,145.75,141.10000610351562,144.9499969482422,18956,0.0,0.0
2020-05-22 00:00:00+05:30,145.0,145.0,131.9499969482422,141.89999389648438,20000,0.0,0.0
2020-05-26 00:00:00+05:30,141.89999389648438,150.0,141.89999389648438,147.89999389648438,12136,0.0,0.0
2020-05-27 00:00:00+05:30,149.9499969482422,156.0,149.9499969482422,154.35000610351562,10463,0.0,0.0
2020-05-28 00:00:00+05:30,156.4499969482422,157.0,150.6999969482422,154.85000610351562,5704,0.0,0.0
2020-05-29 00:00:00+05:30,149.5,158.0,149.5,156.6999969482422,7938,0.0,0.0
2020-06-01 00:00:00+05:30,159.0,167.6999969482422,158.0500030517578,164.8000030517578,17621,0.0,0.0
2020-06-02 00:00:00+05:30,168.0,172.0,160.85000610351562,163.75,18412,0.0,0.0
2020-06-03 00:00:00+05:30,162.0,167.64999389648438,162.0,163.25,10362,0.0,0.0
2020-06-04 00:00:00+05:30,163.25,166.75,163.0,166.10000610351562,32824,0.0,0.0
2020-06-05 00:00:00+05:30,165.0,170.0,163.0,168.35000610351562,14583,0.0,0.0
2020-06-08 00:00:00+05:30,173.39999389648438,173.39999389648438,165.0,166.64999389648438,7355,0.0,0.0
2020-06-09 00:00:00+05:30,166.64999389648438,179.8000030517578,166.0,173.64999389648438,29631,0.0,0.0
2020-06-10 00:00:00+05:30,178.0,178.0,165.0,167.10000610351562,28418,0.0,0.0
2020-06-11 00:00:00+05:30,169.0,169.0,165.10000610351562,166.8000030517578,10003,0.0,0.0
2020-06-12 00:00:00+05:30,166.8000030517578,166.8000030517578,152.8000030517578,163.89999389648438,5351,0.0,0.0
2020-06-15 00:00:00+05:30,164.0,169.0,160.0,165.14999389648438,25682,0.0,0.0
2020-06-16 00:00:00+05:30,167.75,169.6999969482422,160.0500030517578,161.0500030517578,6317,0.0,0.0
2020-06-17 00:00:00+05:30,161.10000610351562,170.0,161.10000610351562,168.60000610351562,27801,0.0,0.0
2020-06-18 00:00:00+05:30,165.0500030517578,190.0,165.0500030517578,171.9499969482422,35835,0.0,0.0
2020-06-19 00:00:00+05:30,171.85000610351562,179.0,171.85000610351562,177.3000030517578,24592,0.0,0.0
2020-06-22 00:00:00+05:30,174.0500030517578,194.0,174.0,188.64999389648438,21123,0.0,0.0
2020-06-23 00:00:00+05:30,192.0,200.89999389648438,192.0,199.85000610351562,30472,0.0,0.0
2020-06-24 00:00:00+05:30,205.0,235.5500030517578,202.9499969482422,219.39999389648438,117441,0.0,0.0
2020-06-25 00:00:00+05:30,219.0,263.25,205.5,251.14999389648438,316541,0.0,0.0
2020-06-26 00:00:00+05:30,249.8000030517578,249.8000030517578,228.0500030517578,234.0,104841,0.0,0.0
2020-06-29 00:00:00+05:30,233.0,233.0,213.3000030517578,216.1999969482422,52100,0.0,0.0
2020-06-30 00:00:00+05:30,221.89999389648438,230.1999969482422,216.3000030517578,222.89999389648438,30721,0.0,0.0
2020-07-01 00:00:00+05:30,224.0,228.0,202.0,225.89999389648438,21102,0.0,0.0
2020-07-02 00:00:00+05:30,227.0,235.5500030517578,217.10000610351562,230.8000030517578,24784,0.0,0.0
2020-07-03 00:00:00+05:30,231.85000610351562,237.0,226.9499969482422,233.0,10333,0.0,0.0
2020-07-06 00:00:00+05:30,231.5,247.89999389648438,229.0,235.25,19648,0.0,0.0
2020-07-07 00:00:00+05:30,235.25,247.39999389648438,230.3000030517578,244.85000610351562,28138,0.0,0.0
2020-07-08 00:00:00+05:30,254.39999389648438,255.0,240.5,243.0500030517578,33128,0.0,0.0
2020-07-09 00:00:00+05:30,248.35000610351562,260.75,244.0,256.0,128413,0.0,0.0
2020-07-10 00:00:00+05:30,253.9499969482422,281.6000061035156,251.0500030517578,281.6000061035156,101233,0.0,0.0
2020-07-13 00:00:00+05:30,301.8999938964844,309.75,290.0,309.75,146960,0.0,0.0
2020-07-14 00:00:00+05:30,325.20001220703125,325.20001220703125,325.20001220703125,325.20001220703125,27626,0.0,0.0
2020-07-15 00:00:00+05:30,341.45001220703125,341.45001220703125,341.45001220703125,341.45001220703125,12700,0.0,0.0
2020-07-16 00:00:00+05:30,358.5,358.5,358.5,358.5,8504,0.0,0.0
2020-07-17 00:00:00+05:30,376.3999938964844,376.3999938964844,340.6000061035156,348.5,341181,0.0,0.0
2020-07-20 00:00:00+05:30,344.0,365.8999938964844,331.1000061035156,365.8999938964844,76456,0.0,0.0
2020-07-21 00:00:00+05:30,379.3999938964844,384.1499938964844,367.0,384.1499938964844,57529,0.0,0.0
2020-07-22 00:00:00+05:30,390.0,403.3500061035156,373.1499938964844,403.3500061035156,83115,0.0,0.0
2020-07-23 00:00:00+05:30,419.8999938964844,423.5,415.04998779296875,423.5,9191,0.0,0.0
2020-07-24 00:00:00+05:30,439.95001220703125,444.6499938964844,410.29998779296875,444.6499938964844,119986,0.0,0.0
2020-07-27 00:00:00+05:30,456.79998779296875,465.0,422.45001220703125,422.45001220703125,70091,0.0,0.0
2020-07-28 00:00:00+05:30,401.3500061035156,401.3500061035156,401.3500061035156,401.3500061035156,8461,0.0,0.0
2020-07-29 00:00:00+05:30,381.29998779296875,399.8500061035156,381.29998779296875,381.29998779296875,38782,0.0,0.0
2020-07-30 00:00:00+05:30,362.25,362.25,362.25,362.25,7739,0.0,0.0
2020-07-31 00:00:00+05:30,344.1499938964844,344.1499938964844,344.1499938964844,344.1499938964844,9336,0.0,0.0
2020-08-03 00:00:00+05:30,326.95001220703125,326.95001220703125,326.95001220703125,326.95001220703125,4112,0.0,0.0
2020-08-04 00:00:00+05:30,316.04998779296875,343.25,316.04998779296875,343.25,13517,0.0,0.0
2020-08-05 00:00:00+05:30,360.3999938964844,360.3999938964844,360.3999938964844,360.3999938964844,1441,0.0,0.0
2020-08-06 00:00:00+05:30,378.3999938964844,378.3999938964844,362.29998779296875,378.3999938964844,67629,0.0,0.0
2020-08-07 00:00:00+05:30,389.95001220703125,395.0,367.04998779296875,382.6499938964844,90875,0.0,0.0
2020-08-10 00:00:00+05:30,384.0,390.0,363.54998779296875,371.70001220703125,53370,0.0,0.0
2020-08-11 00:00:00+05:30,365.95001220703125,377.8999938964844,355.0,360.0,39816,0.0,0.0
2020-08-12 00:00:00+05:30,360.0,364.95001220703125,348.0,351.5,30742,0.0,0.0
2020-08-13 00:00:00+05:30,360.0,360.0,347.04998779296875,350.3999938964844,11954,0.0,0.0
2020-08-14 00:00:00+05:30,350.45001220703125,366.0,347.04998779296875,355.3500061035156,31690,0.0,0.0
2020-08-17 00:00:00+05:30,355.0,355.0,337.6000061035156,337.6000061035156,29017,0.0,0.0
2020-08-18 00:00:00+05:30,337.6000061035156,354.0,321.54998779296875,351.1000061035156,10481,0.0,0.0
2020-08-19 00:00:00+05:30,353.0,357.0,339.0,344.3500061035156,9349,0.0,0.0
2020-08-20 00:00:00+05:30,344.0,346.0,334.25,344.20001220703125,14365,0.0,0.0
2020-08-21 00:00:00+05:30,346.20001220703125,355.0,338.0,352.04998779296875,8693,0.0,0.0
2020-08-24 00:00:00+05:30,352.04998779296875,352.04998779296875,338.0,351.1499938964844,7094,0.0,0.0
2020-08-25 00:00:00+05:30,348.0,355.0,343.0,352.3500061035156,11131,0.0,0.0
2020-08-26 00:00:00+05:30,353.8999938964844,360.3999938964844,340.0,353.70001220703125,27371,0.0,0.0
2020-08-27 00:00:00+05:30,355.0,364.8999938964844,350.0,361.3999938964844,14947,0.0,0.0
2020-08-28 00:00:00+05:30,361.3999938964844,379.45001220703125,355.0,378.04998779296875,16788,0.0,0.0
2020-08-31 00:00:00+05:30,378.04998779296875,380.0,359.1499938964844,359.1499938964844,17670,0.0,0.0
2020-09-01 00:00:00+05:30,359.1499938964844,359.1499938964844,342.0,343.1499938964844,5723,0.0,0.0
2020-09-02 00:00:00+05:30,335.1000061035156,360.29998779296875,335.1000061035156,359.5,14673,0.0,0.0
2020-09-03 00:00:00+05:30,350.0,377.45001220703125,344.0,377.20001220703125,13383,0.0,0.0
2020-09-04 00:00:00+05:30,380.0,396.04998779296875,380.0,396.04998779296875,48234,0.0,0.0
2020-09-07 00:00:00+05:30,413.95001220703125,414.0,376.25,377.95001220703125,11505,0.0,0.0
2020-09-08 00:00:00+05:30,360.1000061035156,378.95001220703125,359.1000061035156,361.1000061035156,13698,0.0,0.0
2020-09-09 00:00:00+05:30,344.0,359.8999938964844,343.04998779296875,347.70001220703125,7253,0.0,0.0
2020-09-10 00:00:00+05:30,345.0,361.0,345.0,349.6000061035156,6515,0.0,0.0
2020-09-11 00:00:00+05:30,353.8999938964844,367.04998779296875,347.6499938964844,365.8999938964844,21304,0.0,0.0
2020-09-14 00:00:00+05:30,365.8999938964844,384.1499938964844,360.5,384.04998779296875,40824,0.0,0.0
2020-09-15 00:00:00+05:30,396.0,396.0,381.0,387.1499938964844,13477,0.0,0.0
2020-09-16 00:00:00+05:30,387.0,390.0,376.25,385.0,5398,0.0,0.0
2020-09-17 00:00:00+05:30,366.0,384.79998779296875,366.0,381.95001220703125,10512,0.0,0.0
2020-09-18 00:00:00+05:30,381.95001220703125,390.0,372.0,379.70001220703125,11797,0.0,0.0
2020-09-21 00:00:00+05:30,389.8999938964844,389.95001220703125,360.75,361.8999938964844,12930,0.0,0.0
2020-09-22 00:00:00+05:30,361.8999938964844,376.79998779296875,343.8500061035156,368.0,2830,0.0,0.0
2020-09-23 00:00:00+05:30,351.04998779296875,369.95001220703125,349.6000061035156,354.1000061035156,7474,0.0,0.0
2020-09-24 00:00:00+05:30,355.0,360.0,336.3999938964844,341.25,9407,0.0,0.0
2020-09-25 00:00:00+05:30,351.0,358.29998779296875,331.3999938964844,343.1499938964844,14994,0.0,0.0
2020-09-28 00:00:00+05:30,356.04998779296875,356.04998779296875,330.04998779296875,346.8500061035156,5320,0.0,0.0
2020-09-29 00:00:00+05:30,338.04998779296875,356.8500061035156,338.04998779296875,347.75,2387,0.0,0.0
2020-09-30 00:00:00+05:30,355.0,356.0,339.04998779296875,347.1000061035156,2994,0.0,0.0
2020-10-01 00:00:00+05:30,350.0,360.0,329.75,334.3999938964844,11987,0.0,0.0
2020-10-05 00:00:00+05:30,344.3999938964844,351.1000061035156,338.0,351.1000061035156,14772,0.0,0.0
2020-10-06 00:00:00+05:30,364.8500061035156,368.6499938964844,355.0,366.5,14738,0.0,0.0
2020-10-07 00:00:00+05:30,366.45001220703125,375.0,349.0,365.8999938964844,22833,0.0,0.0
2020-10-08 00:00:00+05:30,369.45001220703125,375.0,347.6499938964844,351.20001220703125,16584,0.0,0.0
2020-10-09 00:00:00+05:30,368.75,368.75,361.20001220703125,367.79998779296875,19782,0.0,0.0
2020-10-12 00:00:00+05:30,364.0,364.0,350.0,353.45001220703125,13678,0.0,0.0
2020-10-13 00:00:00+05:30,340.0,354.0,335.79998779296875,344.25,24111,0.0,0.0
2020-10-14 00:00:00+05:30,340.0,344.0,327.04998779296875,339.6499938964844,7477,0.0,0.0
2020-10-15 00:00:00+05:30,340.0,356.6000061035156,339.6000061035156,356.6000061035156,14556,0.0,0.0
2020-10-16 00:00:00+05:30,356.6000061035156,360.0,340.0,344.04998779296875,9351,0.0,0.0
2020-10-19 00:00:00+05:30,344.04998779296875,350.0,335.1000061035156,347.70001220703125,7516,0.0,0.0
2020-10-20 00:00:00+05:30,336.5,355.0,336.5,350.54998779296875,26303,0.0,0.0
2020-10-21 00:00:00+05:30,350.0,350.0,340.0,344.29998779296875,4737,0.0,0.0
2020-10-22 00:00:00+05:30,345.0,361.5,336.5,361.5,15718,0.0,0.0
2020-10-23 00:00:00+05:30,361.5,361.5,345.5,351.04998779296875,3682,0.0,0.0
2020-10-26 00:00:00+05:30,346.04998779296875,352.0,343.0,347.6000061035156,6692,0.0,0.0
2020-10-27 00:00:00+05:30,342.20001220703125,346.25,336.0,338.3999938964844,11698,0.0,0.0
2020-10-28 00:00:00+05:30,340.0,341.95001220703125,324.0,332.8999938964844,68918,0.0,0.0
2020-10-29 00:00:00+05:30,328.0,334.75,320.04998779296875,323.20001220703125,9859,0.0,0.0
2020-10-30 00:00:00+05:30,333.70001220703125,333.70001220703125,307.04998779296875,320.75,9773,0.0,0.0
2020-11-02 00:00:00+05:30,324.3999938964844,330.0,310.20001220703125,321.0,12695,0.0,0.0
2020-11-03 00:00:00+05:30,321.0,324.0,311.45001220703125,320.0,4638,0.0,0.0
2020-11-04 00:00:00+05:30,321.0,323.79998779296875,312.29998779296875,319.54998779296875,2035,0.0,0.0
2020-11-05 00:00:00+05:30,316.04998779296875,320.0,303.6000061035156,309.04998779296875,3351,0.0,0.0
2020-11-06 00:00:00+05:30,312.04998779296875,321.0,307.0,310.6000061035156,5789,0.0,0.0
2020-11-09 00:00:00+05:30,322.8999938964844,326.1000061035156,312.3999938964844,322.6000061035156,65905,0.0,0.0
2020-11-10 00:00:00+05:30,332.95001220703125,332.95001220703125,315.79998779296875,321.79998779296875,14287,0.0,0.0
2020-11-11 00:00:00+05:30,320.0,323.95001220703125,313.6000061035156,317.3999938964844,5001,0.0,0.0
2020-11-12 00:00:00+05:30,320.95001220703125,322.95001220703125,312.3999938964844,318.8999938964844,15737,0.0,0.0
2020-11-13 00:00:00+05:30,322.5,322.54998779296875,313.6000061035156,320.70001220703125,6053,0.0,0.0
2020-11-14 00:00:00+05:30,329.95001220703125,329.95001220703125,316.29998779296875,321.6499938964844,2703,0.0,0.0
2020-11-17 00:00:00+05:30,327.95001220703125,336.3999938964844,318.25,331.45001220703125,13545,0.0,0.0
2020-11-18 00:00:00+05:30,339.95001220703125,339.95001220703125,326.1499938964844,333.25,3613,0.0,0.0
2020-11-19 00:00:00+05:30,326.0,334.6000061035156,320.25,327.95001220703125,9667,0.0,0.0
2020-11-20 00:00:00+05:30,333.0,344.29998779296875,322.25,344.29998779296875,32877,0.0,0.0
2020-11-23 00:00:00+05:30,360.3500061035156,360.3500061035156,344.29998779296875,355.8999938964844,15715,0.0,0.0
2020-11-24 00:00:00+05:30,350.0,360.0,342.6000061035156,347.20001220703125,7367,0.0,0.0
2020-11-25 00:00:00+05:30,358.79998779296875,358.79998779296875,329.8500061035156,330.70001220703125,16198,0.0,0.0
2020-11-26 00:00:00+05:30,330.70001220703125,334.6499938964844,325.04998779296875,328.5,6580,0.0,0.0
2020-11-27 00:00:00+05:30,335.95001220703125,335.95001220703125,318.5,325.79998779296875,16340,0.0,0.0
2020-12-01 00:00:00+05:30,332.29998779296875,333.8999938964844,326.3999938964844,330.6000061035156,4868,0.0,0.0
2020-12-02 00:00:00+05:30,328.04998779296875,340.1499938964844,327.0,329.70001220703125,14946,0.0,0.0
2020-12-03 00:00:00+05:30,327.1000061035156,337.0,327.1000061035156,333.75,8576,0.0,0.0
2020-12-04 00:00:00+05:30,330.04998779296875,339.0,330.04998779296875,333.3999938964844,5153,0.0,0.0
2020-12-07 00:00:00+05:30,338.8999938964844,346.0,328.20001220703125,339.25,11017,0.0,0.0
2020-12-08 00:00:00+05:30,345.25,372.0,335.75,354.54998779296875,27528,0.0,0.0
2020-12-09 00:00:00+05:30,355.0,357.0,333.04998779296875,334.79998779296875,28148,0.0,0.0
2020-12-10 00:00:00+05:30,339.95001220703125,339.95001220703125,322.0,327.5,10375,0.0,0.0
2020-12-11 00:00:00+05:30,334.95001220703125,334.95001220703125,328.0,328.8500061035156,12859,0.0,0.0
2020-12-14 00:00:00+05:30,329.04998779296875,334.95001220703125,324.70001220703125,325.20001220703125,13898,0.0,0.0
2020-12-15 00:00:00+05:30,333.95001220703125,333.95001220703125,323.0,324.3999938964844,12402,0.0,0.0
2020-12-16 00:00:00+05:30,328.95001220703125,328.95001220703125,315.0,317.1499938964844,20126,0.0,0.0
2020-12-17 00:00:00+05:30,324.0,324.0,308.0,310.04998779296875,16597,0.0,0.0
2020-12-18 00:00:00+05:30,310.04998779296875,310.04998779296875,284.79998779296875,299.3500061035156,35730,0.0,0.0
2020-12-21 00:00:00+05:30,298.0,305.0,285.0,287.45001220703125,23011,0.0,0.0
2020-12-22 00:00:00+05:30,287.45001220703125,287.45001220703125,264.3500061035156,278.45001220703125,27213,0.0,0.0
2020-12-23 00:00:00+05:30,287.3999938964844,296.79998779296875,265.54998779296875,280.5,63975,0.0,0.0
2020-12-24 00:00:00+05:30,288.45001220703125,299.95001220703125,280.0,296.45001220703125,30294,0.0,0.0
2020-12-28 00:00:00+05:30,309.79998779296875,311.95001220703125,299.25,309.6499938964844,15587,0.0,0.0
2020-12-29 00:00:00+05:30,309.6499938964844,318.0,306.1000061035156,309.29998779296875,12023,0.0,0.0
2020-12-30 00:00:00+05:30,317.20001220703125,317.95001220703125,308.0,310.1499938964844,9796,0.0,0.0
2020-12-31 00:00:00+05:30,310.04998779296875,311.8999938964844,298.95001220703125,300.70001220703125,19309,0.0,0.0
2021-01-01 00:00:00+05:30,307.8999938964844,307.8999938964844,295.0,302.1499938964844,10239,0.0,0.0
2021-01-04 00:00:00+05:30,305.8999938964844,309.79998779296875,299.29998779296875,302.79998779296875,13969,0.0,0.0
2021-01-05 00:00:00+05:30,301.5,307.45001220703125,299.0,302.6499938964844,11478,0.0,0.0
2021-01-06 00:00:00+05:30,302.6499938964844,308.5,302.6499938964844,307.8999938964844,16456,0.0,0.0
2021-01-07 00:00:00+05:30,308.1000061035156,315.0,307.0,312.0,17304,0.0,0.0
2021-01-08 00:00:00+05:30,310.3500061035156,335.75,295.0,315.1000061035156,31421,0.0,0.0
2021-01-11 00:00:00+05:30,320.0,346.6000061035156,319.95001220703125,343.0,72598,0.0,0.0
2021-01-12 00:00:00+05:30,354.3999938964844,377.29998779296875,351.0,377.29998779296875,227778,0.0,0.0
